"","year","sport","count","country","gdp","pop"
"413",1996,"Gymnastics",1,"Greece",145861612825.595,10608800
"414",1996,"Sailing",1,"Greece",145861612825.595,10608800
"415",1996,"Weightlifting",5,"Greece",145861612825.595,10608800
"416",1996,"Sailing",1,"Hong Kong",159717233621.659,6435500
"417",1996,"Aquatics",6,"Hungary",46659796772.5473,10311238
"418",1996,"Athletics",1,"Hungary",46659796772.5473,10311238
"419",1996,"Boxing",1,"Hungary",46659796772.5473,10311238
"420",1996,"Canoe / Kayak",11,"Hungary",46659796772.5473,10311238
"421",1996,"Fencing",5,"Hungary",46659796772.5473,10311238
"422",1996,"Gymnastics",1,"Hungary",46659796772.5473,10311238
"423",1996,"Handball",16,"Hungary",46659796772.5473,10311238
"424",1996,"Modern Pentathlon",1,"Hungary",46659796772.5473,10311238
"425",1996,"Weightlifting",1,"Hungary",46659796772.5473,10311238
"426",1996,"Badminton",6,"Indonesia",227369679374.973,199914831
"427",1996,"Tennis",1,"India",387656017798.596,978893217
"428",1996,"Wrestling",3,"Iran",120403931885.448,61583089
"429",1996,"Aquatics",4,"Ireland",75880632560.4839,3637510
"430",1996,"Sailing",1,"Israel",109957321960.084,5692000
"431",1996,"Aquatics",14,"Italy",1308929351236.04,56860281
"432",1996,"Archery",3,"Italy",1308929351236.04,56860281
"433",1996,"Athletics",4,"Italy",1308929351236.04,56860281
"434",1996,"Canoe / Kayak",7,"Italy",1308929351236.04,56860281
"435",1996,"Cycling",5,"Italy",1308929351236.04,56860281
"436",1996,"Fencing",15,"Italy",1308929351236.04,56860281
"437",1996,"Gymnastics",1,"Italy",1308929351236.04,56860281
"438",1996,"Judo",2,"Italy",1308929351236.04,56860281
"439",1996,"Rowing",2,"Italy",1308929351236.04,56860281
"440",1996,"Sailing",1,"Italy",1308929351236.04,56860281
"441",1996,"Shooting",5,"Italy",1308929351236.04,56860281
"442",1996,"Volleyball",12,"Italy",1308929351236.04,56860281
"443",1996,"Athletics",16,"Jamaica",7.368e+09,2561993
"444",1996,"Aquatics",10,"Japan",4833712542207.1,125757000
"445",1996,"Athletics",1,"Japan",4833712542207.1,125757000
