"","year","count","country","gdp","pop","host","comm_soviet"
"197",2000,5,"Morocco",38857251336.3448,28849621,0,"0"
"198",2000,2,"Moldova",1288429150.51394,3639592,0,"1"
"199",2000,6,"Mexico",707906744574.644,101719673,0,"0"
"200",2000,1,"Macedonia",3772851420.24763,2034819,0,"1"
"201",2000,1,"Mozambique",5016469068.50898,18067687,0,"0"
"202",2000,79,"Netherlands",412807259996.315,15925513,0,"0"
"203",2000,8,"Nigeria",46386011231.37,122352009,0,"0"
"204",2000,44,"Norway",171315639982.731,4490967,0,"0"
"205",2000,4,"New Zealand",52622842840.2055,3857700,0,"0"
"206",2000,24,"Poland",171885598582.637,38258629,0,"1"
"207",2000,2,"Portugal",118358489957.619,10289898,0,"0"
"208",2000,4,"North Korea",NA,22929075,0,"1"
"209",2000,1,"Qatar",17759890109.8901,592267,0,"0"
"210",2000,46,"Romania",37438527799.5302,22442971,0,"1"
"211",2000,5,"South Africa",136361854808.496,45728315,0,"0"
"212",2000,188,"Russia",259708496267.33,146596557,0,"1"
"213",2000,3,"Slovenia",20342201356.0052,1988925,0,"1"
"214",2000,1,"Sri Lanka",16330814179.9766,18781938,0,"0"
"215",2000,14,"Switzerland",272055499940.786,7184250,0,"0"
"216",2000,6,"Slovakia",29114875621.8905,5388720,0,"0"
"217",2000,32,"Sweden",259802012617.057,8872109,0,"0"
"218",2000,3,"Thailand",126392308497.749,62958021,0,"0"
"219",2000,5,"Taiwan",NA,NA,0,"0"
"220",2000,2,"Trinidad and Tobago",8154338232.95978,1267984,0,"0"
"221",2000,5,"Turkey",272979390595.01,63240121,0,"0"
"222",2000,35,"Ukraine",31261527363.144,49175848,0,"1"
"223",2000,1,"Uruguay",22823255801.8447,3321245,0,"0"
"224",2000,248,"United States",1.0284779e+13,282162411,1,"0"
"225",2000,4,"Uzbekistan",13760374487.51,24650400,0,"1"
"226",2000,1,"Vietnam",31172518403.3162,80285562,0,"1"
"227",2000,26,"Yugoslavia",NA,NA,0,"1"
"228",2004,47,"Argentina",164657930452.787,38728696,0,"0"
"229",2004,157,"Australia",611904253805.662,20127400,1,"0"
"230",2004,8,"Austria",300904221504.842,8171966,0,"0"
"231",2004,5,"Azerbaijan",8680472168.51531,8306500,0,"1"
"232",2004,2,"Bahamas",9055290000,322526,0,"0"
"233",2004,3,"Belgium",370885026074,10421137,0,"0"
